,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months_sels,City name,total_seals_per_months,sell Hour,sell Munites,Time Frequency,Grouped_products
12035,188097,27in FHD Monitor,1,149.99,2019-04-17 10:49:00,"92 5th St, Atlanta, GA 30301",4,  Atlanta (GA),149.99,10,49,1,"Google Phone,USB-C Charging Cable,27in FHD Monitor"
12045,188107,Apple Airpods Headphones,1,150.0,2019-04-02 18:54:00,"763 9th St, Atlanta, GA 30301",4,  Atlanta (GA),150.0,18,54,1,"Apple Airpods Headphones,Flatscreen TV"
12046,188107,Flatscreen TV,1,300.0,2019-04-02 18:54:00,"763 9th St, Atlanta, GA 30301",4,  Atlanta (GA),300.0,18,54,1,"Apple Airpods Headphones,Flatscreen TV"
12052,188113,AAA Batteries (4-pack),1,2.99,2019-04-29 22:13:00,"977 Cherry St, Los Angeles, CA 90001",4,  Los Angeles (CA),2.99,22,13,1,"AAA Batteries (4-pack),USB-C Charging Cable"
12053,188113,USB-C Charging Cable,1,11.95,2019-04-29 22:13:00,"977 Cherry St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,22,13,1,"AAA Batteries (4-pack),USB-C Charging Cable"
12062,188122,iPhone,1,700.0,2019-04-13 19:03:00,"352 Ridge St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,19,3,1,"iPhone,Lightning Charging Cable"
12063,188122,Lightning Charging Cable,1,14.95,2019-04-13 19:03:00,"352 Ridge St, Los Angeles, CA 90001",4,  Los Angeles (CA),14.95,19,3,1,"iPhone,Lightning Charging Cable"
12083,188142,ThinkPad Laptop,1,999.99,2019-04-13 19:01:00,"127 Main St, Los Angeles, CA 90001",4,  Los Angeles (CA),999.99,19,1,1,"ThinkPad Laptop,AA Batteries (4-pack)"
12084,188142,AA Batteries (4-pack),2,3.84,2019-04-13 19:01:00,"127 Main St, Los Angeles, CA 90001",4,  Los Angeles (CA),7.68,19,1,1,"ThinkPad Laptop,AA Batteries (4-pack)"
12164,188222,AAA Batteries (4-pack),1,2.99,2019-04-06 09:25:00,"446 Dogwood St, Dallas, TX 75001",4,  Dallas (TX),2.99,9,25,1,"AAA Batteries (4-pack),AA Batteries (4-pack)"
12165,188222,AA Batteries (4-pack),1,3.84,2019-04-06 09:25:00,"446 Dogwood St, Dallas, TX 75001",4,  Dallas (TX),3.84,9,25,1,"AAA Batteries (4-pack),AA Batteries (4-pack)"
12212,188269,27in FHD Monitor,1,149.99,2019-04-01 10:17:00,"518 Pine St, Dallas, TX 75001",4,  Dallas (TX),149.99,10,17,1,"27in FHD Monitor,iPhone"
12213,188269,iPhone,1,700.0,2019-04-01 10:17:00,"518 Pine St, Dallas, TX 75001",4,  Dallas (TX),700.0,10,17,1,"27in FHD Monitor,iPhone"
12247,188303,iPhone,1,700.0,2019-04-25 00:34:00,"211 10th St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,0,34,1,"iPhone,Apple Airpods Headphones"
12248,188303,Apple Airpods Headphones,1,150.0,2019-04-25 00:34:00,"211 10th St, San Francisco, CA 94016",4,  San Francisco (CA),150.0,0,34,1,"iPhone,Apple Airpods Headphones"
12271,188326,Bose SoundSport Headphones,1,99.99,2019-04-21 20:20:00,"225 Park St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,20,20,1,"Bose SoundSport Headphones,Lightning Charging Cable"
12272,188326,Lightning Charging Cable,1,14.95,2019-04-21 20:20:00,"225 Park St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,20,20,1,"Bose SoundSport Headphones,Lightning Charging Cable"
12278,188332,Vareebadd Phone,1,400.0,2019-04-16 19:08:00,"346 7th St, New York City, NY 10001",4,  New York City (NY),400.0,19,8,1,"Vareebadd Phone,USB-C Charging Cable"
12279,188332,USB-C Charging Cable,1,11.95,2019-04-16 19:08:00,"346 7th St, New York City, NY 10001",4,  New York City (NY),11.95,19,8,1,"Vareebadd Phone,USB-C Charging Cable"
12287,188340,Bose SoundSport Headphones,1,99.99,2019-04-12 23:17:00,"386 Center St, Boston, MA 02215",4,  Boston (MA),99.99,23,17,1,"Bose SoundSport Headphones,Wired Headphones"
12288,188340,Wired Headphones,1,11.99,2019-04-12 23:17:00,"386 Center St, Boston, MA 02215",4,  Boston (MA),11.99,23,17,1,"Bose SoundSport Headphones,Wired Headphones"
12291,188343,iPhone,1,700.0,2019-04-22 18:46:00,"172 5th St, Boston, MA 02215",4,  Boston (MA),700.0,18,46,1,"iPhone,Lightning Charging Cable"
12292,188343,Lightning Charging Cable,1,14.95,2019-04-22 18:46:00,"172 5th St, Boston, MA 02215",4,  Boston (MA),14.95,18,46,1,"iPhone,Lightning Charging Cable"
12294,188345,iPhone,1,700.0,2019-04-03 22:37:00,"590 14th St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,22,37,1,"iPhone,Lightning Charging Cable"
12295,188345,Lightning Charging Cable,1,14.95,2019-04-03 22:37:00,"590 14th St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,22,37,1,"iPhone,Lightning Charging Cable"
12324,188374,Google Phone,1,600.0,2019-04-25 23:53:00,"787 Jackson St, Seattle, WA 98101",4,  Seattle (WA),600.0,23,53,1,"Google Phone,USB-C Charging Cable"
12325,188374,USB-C Charging Cable,1,11.95,2019-04-25 23:53:00,"787 Jackson St, Seattle, WA 98101",4,  Seattle (WA),11.95,23,53,1,"Google Phone,USB-C Charging Cable"
12331,188380,Bose SoundSport Headphones,1,99.99,2019-04-14 18:48:00,"344 2nd St, Los Angeles, CA 90001",4,  Los Angeles (CA),99.99,18,48,1,"Bose SoundSport Headphones,34in Ultrawide Monitor"
12332,188380,34in Ultrawide Monitor,1,379.99,2019-04-14 18:48:00,"344 2nd St, Los Angeles, CA 90001",4,  Los Angeles (CA),379.99,18,48,1,"Bose SoundSport Headphones,34in Ultrawide Monitor"
12362,188410,AA Batteries (4-pack),4,3.84,2019-04-26 17:02:00,"233 Elm St, San Francisco, CA 94016",4,  San Francisco (CA),15.36,17,2,1,"AA Batteries (4-pack),Lightning Charging Cable"
12363,188410,Lightning Charging Cable,1,14.95,2019-04-26 17:02:00,"233 Elm St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,17,2,1,"AA Batteries (4-pack),Lightning Charging Cable"
12418,188465,iPhone,1,700.0,2019-04-06 03:15:00,"271 Elm St, New York City, NY 10001",4,  New York City (NY),700.0,3,15,1,"iPhone,Apple Airpods Headphones"
12419,188465,Apple Airpods Headphones,1,150.0,2019-04-06 03:15:00,"271 Elm St, New York City, NY 10001",4,  New York City (NY),150.0,3,15,1,"iPhone,Apple Airpods Headphones"
12436,188482,iPhone,1,700.0,2019-04-15 18:17:00,"397 South St, New York City, NY 10001",4,  New York City (NY),700.0,18,17,1,"iPhone,Wired Headphones"
12437,188482,Wired Headphones,1,11.99,2019-04-15 18:17:00,"397 South St, New York City, NY 10001",4,  New York City (NY),11.99,18,17,1,"iPhone,Wired Headphones"
12468,188513,Apple Airpods Headphones,1,150.0,2019-04-28 07:46:00,"957 Adams St, New York City, NY 10001",4,  New York City (NY),150.0,7,46,1,"Apple Airpods Headphones,USB-C Charging Cable"
12469,188513,USB-C Charging Cable,1,11.95,2019-04-28 07:46:00,"957 Adams St, New York City, NY 10001",4,  New York City (NY),11.95,7,46,1,"Apple Airpods Headphones,USB-C Charging Cable"
12476,188520,27in 4K Gaming Monitor,1,389.99,2019-04-24 16:52:00,"519 Pine St, San Francisco, CA 94016",4,  San Francisco (CA),389.99,16,52,1,"27in 4K Gaming Monitor,34in Ultrawide Monitor"
12477,188520,34in Ultrawide Monitor,1,379.99,2019-04-24 16:52:00,"519 Pine St, San Francisco, CA 94016",4,  San Francisco (CA),379.99,16,52,1,"27in 4K Gaming Monitor,34in Ultrawide Monitor"
12490,188533,Vareebadd Phone,1,400.0,2019-04-16 20:17:00,"660 Center St, Seattle, WA 98101",4,  Seattle (WA),400.0,20,17,1,"Vareebadd Phone,USB-C Charging Cable,Wired Headphones"
12491,188533,USB-C Charging Cable,1,11.95,2019-04-16 20:17:00,"660 Center St, Seattle, WA 98101",4,  Seattle (WA),11.95,20,17,1,"Vareebadd Phone,USB-C Charging Cable,Wired Headphones"
12492,188533,Wired Headphones,1,11.99,2019-04-16 20:17:00,"660 Center St, Seattle, WA 98101",4,  Seattle (WA),11.99,20,17,1,"Vareebadd Phone,USB-C Charging Cable,Wired Headphones"
12500,188541,Apple Airpods Headphones,1,150.0,2019-04-18 16:20:00,"925 Sunset St, Portland, OR 97035",4,  Portland (OR),150.0,16,20,1,"Apple Airpods Headphones,Macbook Pro Laptop"
12501,188541,Macbook Pro Laptop,1,1700.0,2019-04-18 16:20:00,"925 Sunset St, Portland, OR 97035",4,  Portland (OR),1700.0,16,20,1,"Apple Airpods Headphones,Macbook Pro Laptop"
12503,188543,AAA Batteries (4-pack),1,2.99,2019-04-10 21:57:00,"117 Dogwood St, San Francisco, CA 94016",4,  San Francisco (CA),2.99,21,57,1,"AAA Batteries (4-pack),Macbook Pro Laptop"
12504,188543,Macbook Pro Laptop,1,1700.0,2019-04-10 21:57:00,"117 Dogwood St, San Francisco, CA 94016",4,  San Francisco (CA),1700.0,21,57,1,"AAA Batteries (4-pack),Macbook Pro Laptop"
12542,188581,iPhone,1,700.0,2019-04-09 16:03:00,"626 Lakeview St, Boston, MA 02215",4,  Boston (MA),700.0,16,3,1,"iPhone,Lightning Charging Cable"
12543,188581,Lightning Charging Cable,1,14.95,2019-04-09 16:03:00,"626 Lakeview St, Boston, MA 02215",4,  Boston (MA),14.95,16,3,1,"iPhone,Lightning Charging Cable"
12544,188582,Bose SoundSport Headphones,1,99.99,2019-04-27 15:59:00,"332 Jackson St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,15,59,1,"Bose SoundSport Headphones,27in FHD Monitor"
12545,188582,27in FHD Monitor,1,149.99,2019-04-27 15:59:00,"332 Jackson St, San Francisco, CA 94016",4,  San Francisco (CA),149.99,15,59,1,"Bose SoundSport Headphones,27in FHD Monitor"
12552,188589,iPhone,1,700.0,2019-04-01 21:23:00,"454 Madison St, New York City, NY 10001",4,  New York City (NY),700.0,21,23,1,"iPhone,Lightning Charging Cable"
12553,188589,Lightning Charging Cable,1,14.95,2019-04-01 21:23:00,"454 Madison St, New York City, NY 10001",4,  New York City (NY),14.95,21,23,1,"iPhone,Lightning Charging Cable"
12562,188598,USB-C Charging Cable,1,11.95,2019-04-12 09:05:00,"796 Highland St, Seattle, WA 98101",4,  Seattle (WA),11.95,9,5,1,"USB-C Charging Cable,Macbook Pro Laptop"
12563,188598,Macbook Pro Laptop,1,1700.0,2019-04-12 09:05:00,"796 Highland St, Seattle, WA 98101",4,  Seattle (WA),1700.0,9,5,1,"USB-C Charging Cable,Macbook Pro Laptop"
12603,188638,iPhone,1,700.0,2019-04-30 23:10:00,"149 Chestnut St, Seattle, WA 98101",4,  Seattle (WA),700.0,23,10,1,"iPhone,Wired Headphones"
12604,188638,Wired Headphones,1,11.99,2019-04-30 23:10:00,"149 Chestnut St, Seattle, WA 98101",4,  Seattle (WA),11.99,23,10,1,"iPhone,Wired Headphones"
12637,188671,Google Phone,1,600.0,2019-04-29 12:21:00,"608 Wilson St, Atlanta, GA 30301",4,  Atlanta (GA),600.0,12,21,1,"Google Phone,Wired Headphones"
12638,188671,Wired Headphones,1,11.99,2019-04-29 12:21:00,"608 Wilson St, Atlanta, GA 30301",4,  Atlanta (GA),11.99,12,21,1,"Google Phone,Wired Headphones"
12639,188672,iPhone,1,700.0,2019-04-06 17:03:00,"831 Lincoln St, Boston, MA 02215",4,  Boston (MA),700.0,17,3,1,"iPhone,Lightning Charging Cable"
12640,188672,Lightning Charging Cable,1,14.95,2019-04-06 17:03:00,"831 Lincoln St, Boston, MA 02215",4,  Boston (MA),14.95,17,3,1,"iPhone,Lightning Charging Cable"
12668,188700,27in FHD Monitor,1,149.99,2019-04-13 12:54:00,"766 Sunset St, Atlanta, GA 30301",4,  Atlanta (GA),149.99,12,54,1,"27in FHD Monitor,AAA Batteries (4-pack)"
12669,188700,AAA Batteries (4-pack),1,2.99,2019-04-13 12:54:00,"766 Sunset St, Atlanta, GA 30301",4,  Atlanta (GA),2.99,12,54,1,"27in FHD Monitor,AAA Batteries (4-pack)"
12720,188751,Google Phone,1,600.0,2019-04-01 19:48:00,"109 Hill St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,19,48,1,"Google Phone,USB-C Charging Cable"
12721,188751,USB-C Charging Cable,1,11.95,2019-04-01 19:48:00,"109 Hill St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,19,48,1,"Google Phone,USB-C Charging Cable"
12726,188756,AA Batteries (4-pack),1,3.84,2019-04-22 19:31:00,"457 Park St, Dallas, TX 75001",4,  Dallas (TX),3.84,19,31,1,"AA Batteries (4-pack),Apple Airpods Headphones"
12727,188756,Apple Airpods Headphones,1,150.0,2019-04-22 19:31:00,"457 Park St, Dallas, TX 75001",4,  Dallas (TX),150.0,19,31,1,"AA Batteries (4-pack),Apple Airpods Headphones"
12731,188760,USB-C Charging Cable,1,11.95,2019-04-18 18:23:00,"808 Ridge St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,18,23,1,"USB-C Charging Cable,Wired Headphones"
12732,188760,Wired Headphones,1,11.99,2019-04-18 18:23:00,"808 Ridge St, San Francisco, CA 94016",4,  San Francisco (CA),11.99,18,23,1,"USB-C Charging Cable,Wired Headphones"
12754,188782,Google Phone,1,600.0,2019-04-29 23:39:00,"994 14th St, New York City, NY 10001",4,  New York City (NY),600.0,23,39,1,"Google Phone,Bose SoundSport Headphones"
12755,188782,Bose SoundSport Headphones,1,99.99,2019-04-29 23:39:00,"994 14th St, New York City, NY 10001",4,  New York City (NY),99.99,23,39,1,"Google Phone,Bose SoundSport Headphones"
12760,188787,Apple Airpods Headphones,1,150.0,2019-04-24 15:18:00,"863 Spruce St, New York City, NY 10001",4,  New York City (NY),150.0,15,18,1,"Apple Airpods Headphones,Lightning Charging Cable"
12761,188787,Lightning Charging Cable,1,14.95,2019-04-24 15:18:00,"863 Spruce St, New York City, NY 10001",4,  New York City (NY),14.95,15,18,1,"Apple Airpods Headphones,Lightning Charging Cable"
12801,188827,USB-C Charging Cable,1,11.95,2019-04-17 18:17:00,"900 Spruce St, New York City, NY 10001",4,  New York City (NY),11.95,18,17,1,"USB-C Charging Cable,USB-C Charging Cable"
12802,188827,USB-C Charging Cable,1,11.95,2019-04-17 18:17:00,"900 Spruce St, New York City, NY 10001",4,  New York City (NY),11.95,18,17,1,"USB-C Charging Cable,USB-C Charging Cable"
12834,188859,iPhone,1,700.0,2019-04-22 11:13:00,"19 Pine St, Portland, OR 97035",4,  Portland (OR),700.0,11,13,1,"iPhone,Apple Airpods Headphones"
12835,188859,Apple Airpods Headphones,1,150.0,2019-04-22 11:13:00,"19 Pine St, Portland, OR 97035",4,  Portland (OR),150.0,11,13,1,"iPhone,Apple Airpods Headphones"
12857,188881,Google Phone,1,600.0,2019-04-19 18:18:00,"872 7th St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,18,18,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
12858,188881,Bose SoundSport Headphones,1,99.99,2019-04-19 18:18:00,"872 7th St, Los Angeles, CA 90001",4,  Los Angeles (CA),99.99,18,18,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
12859,188881,Wired Headphones,1,11.99,2019-04-19 18:18:00,"872 7th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,18,18,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
12882,188904,iPhone,1,700.0,2019-04-20 15:01:00,"281 Church St, Portland, OR 97035",4,  Portland (OR),700.0,15,1,1,"iPhone,Wired Headphones"
12883,188904,Wired Headphones,1,11.99,2019-04-20 15:01:00,"281 Church St, Portland, OR 97035",4,  Portland (OR),11.99,15,1,1,"iPhone,Wired Headphones"
12899,188920,Google Phone,1,600.0,2019-04-09 23:03:00,"250 North St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,23,3,1,"Google Phone,USB-C Charging Cable"
12900,188920,USB-C Charging Cable,1,11.95,2019-04-09 23:03:00,"250 North St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,23,3,1,"Google Phone,USB-C Charging Cable"
12974,188994,ThinkPad Laptop,1,999.99,2019-04-27 23:47:00,"682 Ridge St, Los Angeles, CA 90001",4,  Los Angeles (CA),999.99,23,47,1,"ThinkPad Laptop,AA Batteries (4-pack)"
12975,188994,AA Batteries (4-pack),2,3.84,2019-04-27 23:47:00,"682 Ridge St, Los Angeles, CA 90001",4,  Los Angeles (CA),7.68,23,47,1,"ThinkPad Laptop,AA Batteries (4-pack)"
13000,189019,iPhone,1,700.0,2019-04-28 13:46:00,"327 12th St, Boston, MA 02215",4,  Boston (MA),700.0,13,46,1,"iPhone,Lightning Charging Cable"
13001,189019,Lightning Charging Cable,1,14.95,2019-04-28 13:46:00,"327 12th St, Boston, MA 02215",4,  Boston (MA),14.95,13,46,1,"iPhone,Lightning Charging Cable"
13018,189036,AA Batteries (4-pack),3,3.84,2019-04-02 06:06:00,"627 12th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.52,6,6,1,"AA Batteries (4-pack),Wired Headphones"
13019,189036,Wired Headphones,1,11.99,2019-04-02 06:06:00,"627 12th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,6,6,1,"AA Batteries (4-pack),Wired Headphones"
13026,189043,Vareebadd Phone,1,400.0,2019-04-13 15:33:00,"122 Lincoln St, Atlanta, GA 30301",4,  Atlanta (GA),400.0,15,33,1,"Vareebadd Phone,Wired Headphones"
13027,189043,Wired Headphones,1,11.99,2019-04-13 15:33:00,"122 Lincoln St, Atlanta, GA 30301",4,  Atlanta (GA),11.99,15,33,1,"Vareebadd Phone,Wired Headphones"
13055,189071,iPhone,1,700.0,2019-04-11 15:05:00,"483 Pine St, Boston, MA 02215",4,  Boston (MA),700.0,15,5,1,"iPhone,Lightning Charging Cable"
13056,189071,Lightning Charging Cable,1,14.95,2019-04-11 15:05:00,"483 Pine St, Boston, MA 02215",4,  Boston (MA),14.95,15,5,1,"iPhone,Lightning Charging Cable"
13093,189108,Google Phone,1,600.0,2019-04-10 07:22:00,"196 Meadow St, Boston, MA 02215",4,  Boston (MA),600.0,7,22,1,"Google Phone,USB-C Charging Cable"
13094,189108,USB-C Charging Cable,1,11.95,2019-04-10 07:22:00,"196 Meadow St, Boston, MA 02215",4,  Boston (MA),11.95,7,22,1,"Google Phone,USB-C Charging Cable"
13119,189133,Google Phone,1,600.0,2019-04-18 11:01:00,"701 10th St, Portland, ME 04101",4,  Portland (ME),600.0,11,1,1,"Google Phone,USB-C Charging Cable"
13120,189133,USB-C Charging Cable,1,11.95,2019-04-18 11:01:00,"701 10th St, Portland, ME 04101",4,  Portland (ME),11.95,11,1,1,"Google Phone,USB-C Charging Cable"
13151,189164,Google Phone,1,600.0,2019-04-12 12:40:00,"707 Center St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,12,40,1,"Google Phone,Wired Headphones"
13152,189164,Wired Headphones,1,11.99,2019-04-12 12:40:00,"707 Center St, San Francisco, CA 94016",4,  San Francisco (CA),11.99,12,40,1,"Google Phone,Wired Headphones"
13174,189186,Flatscreen TV,1,300.0,2019-04-18 12:08:00,"83 River St, Los Angeles, CA 90001",4,  Los Angeles (CA),300.0,12,8,1,"Flatscreen TV,27in 4K Gaming Monitor"
13175,189186,27in 4K Gaming Monitor,1,389.99,2019-04-18 12:08:00,"83 River St, Los Angeles, CA 90001",4,  Los Angeles (CA),389.99,12,8,1,"Flatscreen TV,27in 4K Gaming Monitor"
13196,189207,Macbook Pro Laptop,1,1700.0,2019-04-18 09:42:00,"801 6th St, Dallas, TX 75001",4,  Dallas (TX),1700.0,9,42,1,"Macbook Pro Laptop,ThinkPad Laptop"
13197,189207,ThinkPad Laptop,1,999.99,2019-04-18 09:42:00,"801 6th St, Dallas, TX 75001",4,  Dallas (TX),999.99,9,42,1,"Macbook Pro Laptop,ThinkPad Laptop"
13208,189218,Bose SoundSport Headphones,1,99.99,2019-04-19 12:44:00,"365 5th St, Seattle, WA 98101",4,  Seattle (WA),99.99,12,44,1,"Bose SoundSport Headphones,34in Ultrawide Monitor"
13209,189218,34in Ultrawide Monitor,1,379.99,2019-04-19 12:44:00,"365 5th St, Seattle, WA 98101",4,  Seattle (WA),379.99,12,44,1,"Bose SoundSport Headphones,34in Ultrawide Monitor"
13234,189243,Google Phone,1,600.0,2019-04-28 13:01:00,"629 Jackson St, New York City, NY 10001",4,  New York City (NY),600.0,13,1,1,"Google Phone,Bose SoundSport Headphones"
13235,189243,Bose SoundSport Headphones,1,99.99,2019-04-28 13:01:00,"629 Jackson St, New York City, NY 10001",4,  New York City (NY),99.99,13,1,1,"Google Phone,Bose SoundSport Headphones"
13241,189249,Apple Airpods Headphones,1,150.0,2019-04-20 22:01:00,"558 Highland St, New York City, NY 10001",4,  New York City (NY),150.0,22,1,1,"Apple Airpods Headphones,27in FHD Monitor"
13242,189249,27in FHD Monitor,1,149.99,2019-04-20 22:01:00,"558 Highland St, New York City, NY 10001",4,  New York City (NY),149.99,22,1,1,"Apple Airpods Headphones,27in FHD Monitor"
13245,189252,Google Phone,1,600.0,2019-04-19 19:54:00,"93 West St, Boston, MA 02215",4,  Boston (MA),600.0,19,54,1,"Google Phone,USB-C Charging Cable"
13246,189252,USB-C Charging Cable,1,11.95,2019-04-19 19:54:00,"93 West St, Boston, MA 02215",4,  Boston (MA),11.95,19,54,1,"Google Phone,USB-C Charging Cable"
13256,189262,Google Phone,1,600.0,2019-04-01 13:02:00,"230 Dogwood St, Atlanta, GA 30301",4,  Atlanta (GA),600.0,13,2,1,"Google Phone,Wired Headphones"
13257,189262,Wired Headphones,1,11.99,2019-04-01 13:02:00,"230 Dogwood St, Atlanta, GA 30301",4,  Atlanta (GA),11.99,13,2,1,"Google Phone,Wired Headphones"
13331,189336,Google Phone,1,600.0,2019-04-03 21:59:00,"940 Washington St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,21,59,1,"Google Phone,Bose SoundSport Headphones"
13332,189336,Bose SoundSport Headphones,1,99.99,2019-04-03 21:59:00,"940 Washington St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,21,59,1,"Google Phone,Bose SoundSport Headphones"
13334,189338,Apple Airpods Headphones,1,150.0,2019-04-14 09:57:00,"34 Chestnut St, Portland, OR 97035",4,  Portland (OR),150.0,9,57,1,"Apple Airpods Headphones,USB-C Charging Cable"
13335,189338,USB-C Charging Cable,1,11.95,2019-04-14 09:57:00,"34 Chestnut St, Portland, OR 97035",4,  Portland (OR),11.95,9,57,1,"Apple Airpods Headphones,USB-C Charging Cable"
13362,189365,USB-C Charging Cable,1,11.95,2019-04-24 10:43:00,"415 9th St, Boston, MA 02215",4,  Boston (MA),11.95,10,43,1,"USB-C Charging Cable,AAA Batteries (4-pack)"
13363,189365,AAA Batteries (4-pack),1,2.99,2019-04-24 10:43:00,"415 9th St, Boston, MA 02215",4,  Boston (MA),2.99,10,43,1,"USB-C Charging Cable,AAA Batteries (4-pack)"
13385,189387,AA Batteries (4-pack),1,3.84,2019-04-14 08:33:00,"918 12th St, San Francisco, CA 94016",4,  San Francisco (CA),3.84,8,33,1,"AA Batteries (4-pack),USB-C Charging Cable"
13386,189387,USB-C Charging Cable,1,11.95,2019-04-14 08:33:00,"918 12th St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,8,33,1,"AA Batteries (4-pack),USB-C Charging Cable"
13393,189394,USB-C Charging Cable,1,11.95,2019-04-02 11:05:00,"3 Sunset St, Atlanta, GA 30301",4,  Atlanta (GA),11.95,11,5,1,"USB-C Charging Cable,27in FHD Monitor"
13394,189394,27in FHD Monitor,1,149.99,2019-04-02 11:05:00,"3 Sunset St, Atlanta, GA 30301",4,  Atlanta (GA),149.99,11,5,1,"USB-C Charging Cable,27in FHD Monitor"
13414,189414,iPhone,1,700.0,2019-04-25 14:49:00,"426 West St, Dallas, TX 75001",4,  Dallas (TX),700.0,14,49,1,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
13415,189414,Lightning Charging Cable,1,14.95,2019-04-25 14:49:00,"426 West St, Dallas, TX 75001",4,  Dallas (TX),14.95,14,49,1,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
13416,189414,Apple Airpods Headphones,1,150.0,2019-04-25 14:49:00,"426 West St, Dallas, TX 75001",4,  Dallas (TX),150.0,14,49,1,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
13459,189457,iPhone,1,700.0,2019-04-22 14:23:00,"649 South St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,14,23,1,"iPhone,Wired Headphones"
13460,189457,Wired Headphones,1,11.99,2019-04-22 14:23:00,"649 South St, San Francisco, CA 94016",4,  San Francisco (CA),11.99,14,23,1,"iPhone,Wired Headphones"
13499,189496,ThinkPad Laptop,1,999.99,2019-04-17 23:29:00,"242 Forest St, San Francisco, CA 94016",4,  San Francisco (CA),999.99,23,29,1,"ThinkPad Laptop,Lightning Charging Cable"
13500,189496,Lightning Charging Cable,1,14.95,2019-04-17 23:29:00,"242 Forest St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,23,29,1,"ThinkPad Laptop,Lightning Charging Cable"
13556,189552,iPhone,1,700.0,2019-04-25 20:03:00,"191 Chestnut St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,20,3,1,"iPhone,Lightning Charging Cable"
13557,189552,Lightning Charging Cable,1,14.95,2019-04-25 20:03:00,"191 Chestnut St, Los Angeles, CA 90001",4,  Los Angeles (CA),14.95,20,3,1,"iPhone,Lightning Charging Cable"
13575,189570,AA Batteries (4-pack),1,3.84,2019-04-05 22:59:00,"629 Madison St, San Francisco, CA 94016",4,  San Francisco (CA),3.84,22,59,1,"AA Batteries (4-pack),Wired Headphones"
13576,189570,Wired Headphones,1,11.99,2019-04-05 22:59:00,"629 Madison St, San Francisco, CA 94016",4,  San Francisco (CA),11.99,22,59,1,"AA Batteries (4-pack),Wired Headphones"
13603,189597,Vareebadd Phone,1,400.0,2019-04-21 11:12:00,"240 Chestnut St, Dallas, TX 75001",4,  Dallas (TX),400.0,11,12,1,"Vareebadd Phone,Wired Headphones"
13604,189597,Wired Headphones,2,11.99,2019-04-21 11:12:00,"240 Chestnut St, Dallas, TX 75001",4,  Dallas (TX),23.98,11,12,1,"Vareebadd Phone,Wired Headphones"
13624,189617,iPhone,1,700.0,2019-04-22 15:34:00,"902 5th St, Austin, TX 73301",4,  Austin (TX),700.0,15,34,1,"iPhone,Wired Headphones"
13625,189617,Wired Headphones,1,11.99,2019-04-22 15:34:00,"902 5th St, Austin, TX 73301",4,  Austin (TX),11.99,15,34,1,"iPhone,Wired Headphones"
13677,189669,Google Phone,1,600.0,2019-04-30 08:32:00,"90 12th St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,8,32,1,"Google Phone,Bose SoundSport Headphones"
13678,189669,Bose SoundSport Headphones,1,99.99,2019-04-30 08:32:00,"90 12th St, Los Angeles, CA 90001",4,  Los Angeles (CA),99.99,8,32,1,"Google Phone,Bose SoundSport Headphones"
13690,189681,AA Batteries (4-pack),1,3.84,2019-04-29 19:26:00,"254 14th St, San Francisco, CA 94016",4,  San Francisco (CA),3.84,19,26,1,"AA Batteries (4-pack),Bose SoundSport Headphones"
13691,189681,Bose SoundSport Headphones,1,99.99,2019-04-29 19:26:00,"254 14th St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,19,26,1,"AA Batteries (4-pack),Bose SoundSport Headphones"
